Grant Title,Agency,Category,Short Summary,URL,Posted Date,Deadline,Days Left,Last Seen,Source,_id
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/8edb60dc-9733-4147-a05f-6126b887692a,2022-07-12,2025-03-10,,2025-10-12,simpler.grants.gov,d583ac0b3a455c2d
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/c3e55272-5efb-4f85-995f-780ab5cf9774,2024-11-06,2025-03-10,,2025-10-12,simpler.grants.gov,d5ade038b0f39e42
,National Endowment for the Humanities,,Description,https://simpler.grants.gov/opportunity/19c9b56b-2c66-4e48-a086-5e8e3f2e86b2,2024-07-29,2025-03-10,,2025-10-12,simpler.grants.gov,d5bf74c57fdff548
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/cbe89638-50f8-4505-95c7-8b8e565be499,2024-10-23,2025-03-10,,2025-10-12,simpler.grants.gov,d62cca616d76469c
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/18b1486a-7e60-44fd-90b1-8e1dd1610a09,2023-12-08,2025-03-10,,2025-10-12,simpler.grants.gov,d640e69e11425462
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/5a261f15-b37c-4487-8c7b-044adcb22e1f,2024-11-27,2025-03-10,,2025-10-12,simpler.grants.gov,d64b6bd4394711ad
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/38322870-f409-4558-aed0-551709e354fe,2024-10-29,2025-03-10,,2025-10-12,simpler.grants.gov,d661a66f78ecfe54
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/99c292e3-156e-4e6c-9eab-09f1cec4ebe1,2024-11-25,2025-03-10,,2025-10-12,simpler.grants.gov,d665b9c1e1cb638a
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/2906e477-3c29-4d8e-b45c-cda5170e3fcb,2023-12-12,2025-03-10,,2025-10-12,simpler.grants.gov,d66aa722eafd30a0
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/07b5ef08-35da-4934-94a6-389b5dd4e221,2025-05-27,2025-03-10,,2025-10-12,simpler.grants.gov,d670915f48f3070f
,NAVAIR,,Description,https://simpler.grants.gov/opportunity/88a9b974-d54d-4114-8623-9730c5d07351,2025-04-16,2025-03-10,,2025-10-12,simpler.grants.gov,d67545b5f1f4e6f7
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/44c6e7ba-1c3f-4a79-8cf1-6116a1ae062a,2024-11-18,2025-03-10,,2025-10-12,simpler.grants.gov,d676cc521bd6bd90
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/b18997d8-b1fd-4f6c-95cb-7e7b60dde1fe,2024-11-21,2025-03-10,,2025-10-12,simpler.grants.gov,d6a8ca4c22517f4c
,U.S. Mission to Egypt,,Description,https://simpler.grants.gov/opportunity/6849a0ee-8fb9-4f52-869e-3f2645dad835,2019-12-02,2025-03-10,,2025-10-12,simpler.grants.gov,d6e7732f07730679
,Centers for Disease Control - NCEZID,,Description,https://simpler.grants.gov/opportunity/e8fdae75-ffe0-44ad-8328-47ddfaee5840,2025-09-30,2025-03-10,,2025-10-12,simpler.grants.gov,d6ec9d99bdb39dbf
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/c33b8d86-6f73-43bf-adcc-da3cecc0dc70,2025-06-17,2025-03-10,,2025-10-12,simpler.grants.gov,d6f93b78130ab1fb
,Centers for Disease Control and Prevention - ERA,,Description,https://simpler.grants.gov/opportunity/8f570e59-b433-422b-b29b-3cf366c96dd5,2025-08-01,2025-03-10,,2025-10-12,simpler.grants.gov,d6fe58f90eefd15c
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/f453c821-a46d-4181-aa1f-6d43c0021090,2021-03-11,2025-03-10,,2025-10-12,simpler.grants.gov,d72fc76b962fd2eb
,U.S. Dept. of Treasury RESTORE Act Program,,Description,https://simpler.grants.gov/opportunity/cfa56b8d-4bbb-4087-9deb-008c97153720,2025-10-31,2025-03-10,,2025-10-12,simpler.grants.gov,d7418ab30105492d
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/e6644d9f-e75f-4fbf-a2f3-17966106cb58,2024-02-26,2025-03-10,,2025-10-12,simpler.grants.gov,d74e3c78b323a9e4
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/a3fe5760-281e-4303-aac7-08dcea8327c2,2025-06-16,2025-03-10,,2025-10-12,simpler.grants.gov,d775f22942a2c857
,Centers for Disease Control-GHC,,Description,https://simpler.grants.gov/opportunity/0c168f76-3342-4418-9622-0db182dacf1a,2025-10-02,2025-03-10,,2025-10-12,simpler.grants.gov,d7c5a028c649fdfe
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/f9eb8a1d-a0f9-4b35-9552-0ef678ba2587,2024-04-24,2025-03-10,,2025-10-12,simpler.grants.gov,d7c6bd558dc7a8d5
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/b9d7723c-cdcb-484c-b8b5-5f0b3ff1ee41,2025-07-08,2025-03-10,,2025-10-12,simpler.grants.gov,d888f54611967f18
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/50071472-0dd1-45a4-bcb7-34b4b1a84bd0,2024-11-15,2025-03-10,,2025-10-12,simpler.grants.gov,d8b0e33ccbab14a6
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/e9a7ae57-c282-4c65-b076-9f63f0e7edb4,2024-12-02,2025-03-10,,2025-10-12,simpler.grants.gov,d8b891c5d26d5b15
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/cb1a4774-abd9-40f5-a197-8e6ea6685a13,2021-07-29,2025-03-10,,2025-10-12,simpler.grants.gov,d8c2d6c5c3ea8ea6
,National Veterans Sports Programs,,Description,https://simpler.grants.gov/opportunity/bfeab996-2c6b-475e-ba3e-722125b80ec6,2025-09-02,2025-03-10,,2025-10-12,simpler.grants.gov,d8c480e5cffadf9d
,National Energy Technology Laboratory,,Description,https://simpler.grants.gov/opportunity/868608d8-ced6-4f4f-b937-bd56223c1869,2024-05-02,2025-03-10,,2025-10-12,simpler.grants.gov,d8d5e3c1239ca9a7
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/ecab6b5e-c204-4d9e-b54e-94be0f16ec39,2024-06-27,2025-03-10,,2025-10-12,simpler.grants.gov,d9245d4ba8055ea5
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/2e49943e-a4df-4471-bbe7-37ab315c553e,2024-04-03,2025-03-10,,2025-10-12,simpler.grants.gov,d94120aacfba10d2
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/386ceabf-3def-4e13-b6da-cde46ec50841,2024-02-17,2025-03-10,,2025-10-12,simpler.grants.gov,d94504aa8a69d6b0
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/1d234a46-2a1c-434a-8bd0-3a3a674763b8,2024-09-30,2025-03-10,,2025-10-12,simpler.grants.gov,d958e83fa72567eb
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/958d65fb-8ced-4b0c-b527-1ba4d4109fc4,2021-01-15,2025-03-10,,2025-10-12,simpler.grants.gov,d9b847aa6fbe6315
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/4fcf36a5-f12d-415f-ac60-41ed9c565064,2023-04-05,2025-03-10,,2025-10-12,simpler.grants.gov,da04b360d439bcf2
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/5a7d9aa5-d0d9-4bb3-841b-0edddd5c71ee,2023-12-09,2025-03-10,,2025-10-12,simpler.grants.gov,da2ab2dba4937045
,U.S. Mission to Albania,,Description,https://simpler.grants.gov/opportunity/f45f11b1-c443-4968-be2d-2a6f7d50253d,2023-05-23,2025-03-10,,2025-10-12,simpler.grants.gov,da2fe317752fa91d
,Washington Headquarters Services,,Description,https://simpler.grants.gov/opportunity/93773e78-8e58-490e-92c4-9452254b56fd,2025-05-09,2025-03-10,,2025-10-12,simpler.grants.gov,da30d410803fef4f
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/c5ccb26d-ade1-424e-9069-4ff023c78351,2023-11-30,2025-03-10,,2025-10-12,simpler.grants.gov,daa41fb3b1ce4ac6
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/421ce454-e66a-42e6-92eb-08779f4c072b,2024-02-08,2025-03-10,,2025-10-12,simpler.grants.gov,daae5276a0e67046
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/b651004f-f74b-43a1-b817-272a7589b9b4,2025-07-14,2025-03-10,,2025-10-12,simpler.grants.gov,dab1941a89b7e878
,U.S. Mission to the Netherlands,,Description,https://simpler.grants.gov/opportunity/b0a479a6-91de-4bb1-87ff-913e7c25d10c,2024-11-18,2025-03-10,,2025-10-12,simpler.grants.gov,dacf25d48e1679ad
,Centers for Disease Control-GHC,,Description,https://simpler.grants.gov/opportunity/311ade85-b256-4dfb-bbd0-5de646eda47b,2025-10-02,2025-03-10,,2025-10-12,simpler.grants.gov,dad275000d12eb59
,Office of the Assistant Secretary for Health,,Description,https://simpler.grants.gov/opportunity/54c6b441-1759-42d7-ae62-fff1161497c0,2025-04-25,2025-03-10,,2025-10-12,simpler.grants.gov,daf482479ebac48a
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/96c01146-104b-4e72-bd65-1bee3428493a,2024-12-19,2025-03-10,,2025-10-12,simpler.grants.gov,db26cd6fc498b601
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/eeb85b6a-0c52-4077-8f69-09af7b8437e6,2025-09-11,2025-03-10,,2025-10-12,simpler.grants.gov,db31786c9f5950cf
,U.S. Mission to North Macedonia,,Description,https://simpler.grants.gov/opportunity/a0f74b85-818d-4c09-b7cc-7ab6c9857d02,2025-04-16,2025-03-10,,2025-10-12,simpler.grants.gov,db3336b51e25ebcd
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/25e96332-2147-4930-9e2e-442be04feaff,2023-04-20,2025-03-10,,2025-10-12,simpler.grants.gov,db3539200dbbd3fb
,Interior Business Center,,Description,https://simpler.grants.gov/opportunity/573a5f47-5f12-4722-bab7-9eb676d3f894,2023-09-07,2025-03-10,,2025-10-12,simpler.grants.gov,db7961c6a15d028e
,Centers for Disease Control-GHC,,Description,https://simpler.grants.gov/opportunity/79e5ec41-4617-4aba-b2c7-2e5246e3b5e5,2025-08-21,2025-03-10,,2025-10-12,simpler.grants.gov,db9d5d0b1fee551b
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/06492205-bcf9-41af-bbb8-fb7bd5370599,2025-09-25,2025-03-10,,2025-10-12,simpler.grants.gov,dc2138c78dec12cb
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/9dadf3ed-ff10-41c7-a9c3-289c2e662681,2025-09-05,2025-03-10,,2025-10-12,simpler.grants.gov,dc33c284e60963f6
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/eb924fc8-e988-4b1e-be61-18d84a72a73d,2025-05-27,2025-03-10,,2025-10-12,simpler.grants.gov,dc8e4bbc0e2f72fb
,U.S. Mission to Spain,,Description,https://simpler.grants.gov/opportunity/2543bb3e-ca02-46af-8e38-ed95b2472524,2024-07-23,2025-03-10,,2025-10-12,simpler.grants.gov,dc8ec3965f3038a0
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/0c11e001-432f-482b-b678-a7bd446bab4b,2025-06-12,2025-03-10,,2025-10-12,simpler.grants.gov,dc9cad2d4a227f62
,Centers for Disease Control - NCIPC,,Description,https://simpler.grants.gov/opportunity/692495f8-5251-4554-88fc-ce5be86641c8,2025-09-15,2025-03-10,,2025-10-12,simpler.grants.gov,dcb7053707f5abb6
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/b90f39ea-1ad1-401a-8682-0415e172b3ce,2022-07-28,2025-03-10,,2025-10-12,simpler.grants.gov,dd1c05f55c12334c
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/98beed03-92c1-45d1-9a87-c6b475ac2b31,2024-06-24,2025-03-10,,2025-10-12,simpler.grants.gov,dd4bf7f3791a70ea
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/3b811770-3f95-4ee9-ac57-6fe99d2e8e01,2024-08-14,2025-03-10,,2025-10-12,simpler.grants.gov,dd61c577c502d5c5
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/7b88df75-dfbb-47a2-82d9-3d4c1407aa28,2024-12-02,2025-03-10,,2025-10-12,simpler.grants.gov,dd78f37a12fe1e11
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/51468746-6b7b-44c0-aafa-e371947a0ad6,2024-12-13,2025-03-10,,2025-10-12,simpler.grants.gov,ddb2b8a89775273c
,Office of Naval Research,,Description,https://simpler.grants.gov/opportunity/54392cd3-bbe0-42e1-93c2-ac78bfcae5ea,2024-10-01,2025-03-10,,2025-10-12,simpler.grants.gov,ddb9766736cbfc28
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/f96c2117-72af-49af-9527-7dd1a7aa3573,2025-01-15,2025-03-10,,2025-10-12,simpler.grants.gov,ddd6a1d149aec334
,Centers for Medicare & Medicaid Services,,Description,https://simpler.grants.gov/opportunity/45ca8b99-6524-47ec-9e7e-572fa9fc2093,2025-05-15,2025-03-10,,2025-10-12,simpler.grants.gov,dde33f45b510a654
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/646e27d6-2e72-4093-8fdc-700e57d0cbc6,2025-06-18,2025-03-10,,2025-10-12,simpler.grants.gov,de651c187c0f7758
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/6db6740b-53d2-498a-8a5e-3d54c3261e85,2025-09-02,2025-03-10,,2025-10-12,simpler.grants.gov,de7aff0f80fc1a32
,Bureau of International Labor Affairs,,Description,https://simpler.grants.gov/opportunity/a6fc6c4b-0666-4cf4-be15-95ffb7243988,2024-09-03,2025-03-10,,2025-10-12,simpler.grants.gov,de88ffa41fa19b7f
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/e2d26d70-f02b-4467-9b2a-b7371d123ee7,2025-09-15,2025-03-10,,2025-10-12,simpler.grants.gov,ded08a73dad95cd7
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/010955ea-582f-4426-8345-f5d587cd6452,2023-11-30,2025-03-10,,2025-10-12,simpler.grants.gov,df218b83f8d003ab
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/6e628d8f-c560-4587-a47e-db62d12bf210,2025-09-23,2025-03-10,,2025-10-12,simpler.grants.gov,df96377f1b1cf59a
,Bureau of Justice Assistance,,Description,https://simpler.grants.gov/opportunity/3b6dce2b-116d-4998-9041-ab3e75d51bc9,2025-09-17,2025-03-10,,2025-10-12,simpler.grants.gov,dfb0f292d4165ded
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/bac71ab9-580a-4b7d-b4a1-75eb9c79a60b,2024-10-30,2025-03-10,,2025-10-12,simpler.grants.gov,dfc5ad5f072444f1
,Agency for Health Care Research and Quality,,Description,https://simpler.grants.gov/opportunity/f1b8c6df-e8a3-4247-8663-9360e51c34f5,2024-02-06,2025-03-10,,2025-10-12,simpler.grants.gov,dfe04b507d913ba2
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/ff53e2e3-28af-4065-8519-b45c5d4b347a,2024-12-13,2025-03-10,,2025-10-12,simpler.grants.gov,dff2347019633578
,U.S. Mission to Mozambique,,Description,https://simpler.grants.gov/opportunity/a2141770-82f7-44df-8c86-e1731648e086,2020-05-27,2025-03-10,,2025-10-12,simpler.grants.gov,dffb3a6a0ebfbef2
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/1baac24b-610d-486f-90da-e462abe3a8a9,2024-03-13,2025-03-10,,2025-10-12,simpler.grants.gov,e06d7f72b51daeba
,Centers for Disease Control-GHC,,Description,https://simpler.grants.gov/opportunity/afcdeb32-6988-444d-8b2d-c9aa8bcd9790,2025-08-22,2025-03-10,,2025-10-12,simpler.grants.gov,e08f8ac2f8c862d7
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/531f27d8-e616-4612-bf93-c4d912b7fa20,2022-11-22,2025-03-10,,2025-10-12,simpler.grants.gov,e0ea746d48cf7ee1
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/c0bf932b-7f89-453b-be62-3c6bc4f45d15,2025-09-05,2025-03-10,,2025-10-12,simpler.grants.gov,e0f31efd584d3eaa
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/86437da2-5b05-4bf9-ab6d-d76aba0b9ffe,2025-09-05,2025-03-10,,2025-10-12,simpler.grants.gov,e11cdf1d807d3d6c
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/b8708107-b111-4a75-a6b2-7189a2e15538,2024-11-26,2025-03-10,,2025-10-12,simpler.grants.gov,e16c21b0c6fb671a
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/5ad87bc8-7d4d-4b27-a676-5a516f771c39,2023-08-29,2025-03-10,,2025-10-12,simpler.grants.gov,e17e45ca62b47b57
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/d11d69d2-58da-41ad-a298-1dfc10877bf8,2024-08-14,2025-03-10,,2025-10-12,simpler.grants.gov,e19d12fc541b8225
,National Energy Technology Laboratory,,Description,https://simpler.grants.gov/opportunity/c049acb4-2661-413c-80eb-268ed6680d88,2025-10-06,2025-03-10,,2025-10-12,simpler.grants.gov,e1a6c3fa32030d96
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/0e61d658-5a10-46a1-9449-93a3c1ed768b,2025-08-28,2025-03-10,,2025-10-12,simpler.grants.gov,e1bc9dc6834a082a
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/7edc5de8-be7d-4c61-a355-b6ff0ec296bd,2025-09-15,2025-03-10,,2025-10-12,simpler.grants.gov,e1c124fdcccc00b9
,U.S. Mission to Tunisia,,Description,https://simpler.grants.gov/opportunity/c48ba1b9-988b-42cd-8ea0-c98cad680ea7,2025-06-02,2025-03-10,,2025-10-12,simpler.grants.gov,e23c1ca5cff9cb4a
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/1db3894c-0156-4b3a-922a-68a33f783cf1,2019-03-23,2025-03-10,,2025-10-12,simpler.grants.gov,e2467b702e74b2ef
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/7dc670db-9ef6-4b31-9db9-7443760e9b7a,2025-08-28,2025-03-10,,2025-10-12,simpler.grants.gov,e2537dfa89c979f5
,Rural Utilities Service,,Description,https://simpler.grants.gov/opportunity/54268d12-d6ea-4c98-bec8-c0e9bc05f2bf,2025-10-01,2025-03-10,,2025-10-12,simpler.grants.gov,e27ed96ef64f2055
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/45fe2547-7a23-494a-bc97-54870123f3f0,2024-06-14,2025-03-10,,2025-10-12,simpler.grants.gov,e2a44d418272ec82
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/a1b33f3d-dca9-4621-8aef-aeedb57c0093,2024-10-25,2025-03-10,,2025-10-12,simpler.grants.gov,e2a5a3791ad3d44d
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/70e5bb00-3652-4fab-89e6-652ec4aa4ca1,2022-07-27,2025-03-10,,2025-10-12,simpler.grants.gov,e2a907b5e794e764
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/1d72cf07-9151-4cd0-b7c2-941485e74b77,2024-05-31,2025-03-10,,2025-10-12,simpler.grants.gov,e315f633eb7283b3
,DOC NOAA - ERA Production,,Description,https://simpler.grants.gov/opportunity/ca79438d-d307-483f-9dc5-2cb52fc1b845,2024-08-14,2025-03-10,,2025-10-12,simpler.grants.gov,e32d1298c269a7e8
,Centers for Disease Control-GHC,,Description,https://simpler.grants.gov/opportunity/8eabd5ae-57c7-403c-85eb-51e20cc59354,2025-10-02,2025-03-10,,2025-10-12,simpler.grants.gov,e36bf763561d014b
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/b52c1e75-cf22-4c2f-9f80-43bf43a56c3c,2018-03-29,2025-03-10,,2025-10-12,simpler.grants.gov,e3a80603ec51f9f7
,U.S. Mission to Gabon,,Description,https://simpler.grants.gov/opportunity/adc81d92-5223-4d78-807f-be8695d7def3,2023-03-09,2025-03-10,,2025-10-12,simpler.grants.gov,e3c813ebdde7f72d
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/d8dad5bf-fb45-4108-b461-3d83e0a5c046,2020-12-10,2025-03-10,,2025-10-12,simpler.grants.gov,e3c84031132a3063
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/f5586c5b-9add-44c1-9566-73ab7c7dd8b4,2025-01-15,2025-03-10,,2025-10-12,simpler.grants.gov,e3d9a7a44bf2f047
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/9c462129-14c0-4706-a859-6c3515f978cb,2024-06-20,2025-03-10,,2025-10-12,simpler.grants.gov,e3f8aa988a3a9aba
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/739fc3ee-81ff-4baf-9074-85b16b096bac,2024-12-11,2025-03-10,,2025-10-12,simpler.grants.gov,e41399f2c21b354f
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/5e673d4c-c84f-484e-86e9-e8efc00c70c3,2024-11-06,2025-03-10,,2025-10-12,simpler.grants.gov,e41b9c7605bcfb84
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/bc779217-71de-48ea-af41-d39ac6437ab2,2025-07-11,2025-03-10,,2025-10-12,simpler.grants.gov,e428b153f2c80f23
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/7137796b-7942-46fe-9126-be7959daefa6,2024-03-08,2025-03-10,,2025-10-12,simpler.grants.gov,e4928d6c66157cbc
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/72c16e90-9e1f-4fa0-8d67-db0423301955,2024-12-02,2025-03-10,,2025-10-12,simpler.grants.gov,e4aecce37c07c573
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/f93766d2-cd27-41d0-8e05-9bd482daf8d7,2025-08-28,2025-03-10,,2025-10-12,simpler.grants.gov,e4b8e7b1f48bdb32
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/ce0af039-93ef-4a21-879f-9ac3aca06b0d,2024-08-14,2025-03-10,,2025-10-12,simpler.grants.gov,e4c45e178f5b1b98
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/0d072c0e-e8ce-4a20-a7b5-f49dd4899877,2025-07-15,2025-03-10,,2025-10-12,simpler.grants.gov,e52707bee1a49e94
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/d23e74e1-5ffd-4ef3-ad72-7fb9697e5949,2024-12-05,2025-03-10,,2025-10-12,simpler.grants.gov,e53bc788fe474d4c
,National Endowment for the Humanities,,Description,https://simpler.grants.gov/opportunity/c1d4206f-b746-4fa2-a841-ef9f653e496e,2025-02-24,2025-03-10,,2025-10-12,simpler.grants.gov,e54d5782a6d6610f
,Geological Survey,,Description,https://simpler.grants.gov/opportunity/ed897902-ee70-44bd-ac9e-666b88f3c90a,2025-09-29,2025-03-10,,2025-10-12,simpler.grants.gov,e55252b852045aa7
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/0765e59e-2094-4f96-9d37-fe08934e626c,2025-09-22,2025-03-10,,2025-10-12,simpler.grants.gov,e577a261312ffdfc
,Office of the National Coordinator,,Description,https://simpler.grants.gov/opportunity/fa5703d3-a358-4969-9c1e-c5cc0ce21f63,2022-06-14,2025-03-10,,2025-10-12,simpler.grants.gov,e5fa5bdf0a364389
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/e4be832b-2102-4ce3-b3ba-b63a23967b91,2023-08-19,2025-03-10,,2025-10-12,simpler.grants.gov,e624068e0be07d54
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/a518002e-a4c4-4bbd-9b62-aeb05f8288f7,2024-11-18,2025-03-10,,2025-10-12,simpler.grants.gov,e636c889380fa8dd
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/70bf4e85-5070-46ed-a706-55cc0b3ee921,2022-12-14,2025-03-10,,2025-10-12,simpler.grants.gov,e650f0d6ddb574a8
,USAF 347 Contracting Squadron,,Description,https://simpler.grants.gov/opportunity/d82a6cfb-6747-4940-82fa-1f2af5ce6a85,2027-08-30,2025-03-10,,2025-10-12,simpler.grants.gov,e6d085ecdb8e8c69
,Centers for Disease Control and Prevention - ERA,,Description,https://simpler.grants.gov/opportunity/5f0ef55c-f1d8-4930-a863-18bf1ae7c1bc,2023-10-13,2025-03-10,,2025-10-12,simpler.grants.gov,e72a4eac35f1bfde
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/f30604d7-431d-4c96-ad0d-8850543ccab4,2024-04-25,2025-03-10,,2025-10-12,simpler.grants.gov,e737a7fd6f10ded6
,National Institute of Food and Agriculture,,Description,https://simpler.grants.gov/opportunity/10a7404c-3e2f-4355-9044-78c8bafc35cd,2025-08-01,2025-03-10,,2025-10-12,simpler.grants.gov,e74bee19b824da91
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/22227ca0-7530-42d3-858a-473b82a81d80,2025-08-04,2025-03-10,,2025-10-12,simpler.grants.gov,e76dc9e6c56fc8d4
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/078c6a60-731b-4c4f-bd44-d6ed7c5293c1,2024-12-05,2025-03-10,,2025-10-12,simpler.grants.gov,e7ae1b857b3a37f2
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/f01e48a5-55ac-47b9-b924-ee3a5b619316,2024-08-14,2025-03-10,,2025-10-12,simpler.grants.gov,e7b8dcbbf5c46689
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/94fb9fef-9667-431a-87eb-beb5eb753764,2024-12-30,2025-03-10,,2025-10-12,simpler.grants.gov,e7ca73f91116ed33
,Centers for Disease Control-GHC,,Description,https://simpler.grants.gov/opportunity/2cabf3b0-cead-43ba-b5af-11a20514d16d,2025-10-02,2025-03-10,,2025-10-12,simpler.grants.gov,e7d1c01cfba43e8f
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/65e271b5-fbf5-48d0-8183-a59b1027f78b,2024-09-05,2025-03-10,,2025-10-12,simpler.grants.gov,e80ea4d4da0bd6f1
,Bureau of Justice Assistance,,Description,https://simpler.grants.gov/opportunity/30052f78-c0c0-4d11-bc6f-c73620deafe0,2025-09-17,2025-03-10,,2025-10-12,simpler.grants.gov,e8707dda4665869d
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/26162ad2-d8cc-4eb7-9e65-f6b5d9985c13,2025-01-15,2025-03-10,,2025-10-12,simpler.grants.gov,e8e8cf4006e5da61
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/11a1ba17-6aeb-4de1-b138-635a62b81cdb,2025-07-08,2025-03-10,,2025-10-12,simpler.grants.gov,e953ec7191ff43a6
,Administration for Children & Families - ACYF/FYSB,,Description,https://simpler.grants.gov/opportunity/8de4a1d3-3ea4-4e32-95f5-d7c27297f78a,2024-08-14,2025-03-10,,2025-10-12,simpler.grants.gov,e97120802311c262
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/360df6d0-2c02-4e6c-a5aa-6fbe270509e5,2024-07-02,2025-03-10,,2025-10-12,simpler.grants.gov,e9d02d441fd985c8
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/40dbcca5-d2a3-4934-9140-1135236dde8e,2023-09-22,2025-03-10,,2025-10-12,simpler.grants.gov,e9d032851ed8a4e6
